(Intercept),Avg_Rain,Herb_type,"poly(elevation, 2)",X20yr_fire,Avg_Rain:Herb_type,"Avg_Rain:poly(elevation, 2)",Avg_Rain:X20yr_fire,"Herb_type:poly(elevation, 2)",Herb_type:X20yr_fire,"poly(elevation, 2):X20yr_fire","Avg_Rain:Herb_type:poly(elevation, 2)",Avg_Rain:Herb_type:X20yr_fire,"Avg_Rain:poly(elevation, 2):X20yr_fire","Herb_type:poly(elevation, 2):X20yr_fire","Avg_Rain:Herb_type:poly(elevation, 2):X20yr_fire",df,logLik,AICc,delta,weight
-7.607861891219236,0.014058975349034166,+,+,0.07286505249468846,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,12,-102.02776206790898,236.96980985010367,13.896094191431132,0.000100634468284958
-12.508525953719825,0.01946553784903512,NA,+,0.0728650524946707,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,10,-105.83305213409491,237.61205021413576,14.538334555463223,7.29938100745129e-05
-11.707838453719246,0.01946553784903415,+,+,0.07286505249469102,NA,+,NA,+,NA,+,NA,NA,NA,NA,NA,13,-100.56411422855578,237.83411081005272,14.76039515138018,6.53230098838243e-05
-9.619293259235883,0.013257935437840773,+,+,0.3584489096004959,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,13,-100.70444886567589,238.11478008429293,15.041064425620391,5.67700960431231e-05
105.3219141758745,-0.1417413629606831,+,+,-10.868113595501418,NA,+,0.015052480820703096,+,+,+,NA,NA,NA,NA,NA,15,-96.5956278368503,238.1912556737006,15.117540015028055,5.46403113947088e-05
-6.44374645296285,0.01041105600334588,+,+,0.24453184523296284,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,13,-100.81246097131364,238.33080429556844,15.257088636895901,5.09577879800576e-05
83.7143144364431,-0.11467770218703244,+,+,-7.947015494475068,+,NA,0.011426521885038806,+,+,+,NA,NA,NA,NA,NA,14,-99.11762860295815,238.96252993318902,15.888814274516477,3.71563536897029e-05
67.30156710364096,-0.08790673066413238,+,+,-7.903458953986007,NA,+,0.01072637077814309,NA,+,+,NA,NA,+,NA,NA,15,-96.98153482190976,238.96306964381952,15.889353985146982,3.71463282029406e-05
-7.567750437261634,0.010809831340836702,+,+,0.3547335403386851,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,13,-101.18720700484185,239.0802963626249,16.006580703952352,3.50316370812105e-05
106.45301534979573,-0.14195218437132553,+,+,-10.972173767378296,+,+,0.015052480820703115,+,NA,+,NA,NA,NA,NA,NA,15,-97.07862412297118,239.15724824594236,16.083532587269815,3.37093628500797e-05
72.49790634219725,-0.09331329316413214,+,+,-8.020926383563554,+,+,0.010726370778143176,NA,NA,+,NA,NA,+,NA,NA,15,-97.29583464523533,239.59166929047066,16.51795363179812,2.71279647624493e-05
108.07273017734111,-0.14602379891417383,+,+,-10.492951025400929,+,+,0.014630751783368727,NA,+,+,NA,+,NA,NA,NA,15,-97.361496202509,239.722992405018,16.649276746345464,2.54039214172055e-05
112.52545226569558,-0.15483375882328074,+,+,-10.58746850746279,+,+,0.015099766042898366,+,+,NA,NA,+,NA,NA,NA,15,-97.5425425840873,240.0850851681746,17.01136950950206,2.11969471093832e-05
101.84140142719298,-0.13900142764773218,+,+,-9.94780606224926,+,+,0.014045347679189602,+,NA,NA,+,NA,NA,NA,NA,15,-97.54270436342743,240.08540872685487,17.011693068182325,2.11935181586412e-05
67.59724227969741,-0.08790673066413245,NA,+,-8.020926383563536,NA,+,0.01072637077814317,NA,NA,+,NA,NA,+,NA,NA,13,-101.85605747221693,240.41799729737505,17.344281638702512,1.79466075462336e-05
68.39792977969898,-0.0879067306641344,+,+,-8.020926383563703,NA,+,0.01072637077814337,+,NA,+,NA,NA,+,NA,NA,16,-95.50099207805363,240.55037125288146,17.47665559420892,1.67972322309759e-05
-0.7843974978441869,NA,+,+,0.491429803849727,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,13,-102.07271181713695,240.85130598721508,17.777590328542544,1.44507563754993e-05
