species,site,herbivory_type,habitat,individual,mean_herbivory,mean_leaf_area,herbivory_standardized,herbratio
KRA_FLO,S10,sap_miner_herbivory,Savanna,1,2.740125,17.9305625,15.281868597262354,0.15291868597262354
KRA_FLO,S10,sap_miner_herbivory,Savanna,2,1.1624761904761904,11.13704761904762,10.437920625283267,0.10447920625283268
KRA_FLO,S10,sap_miner_herbivory,Savanna,3,0.6941739130434782,8.811,7.878491806190878,0.07888491806190878
KRA_FLO,S10,chew_herbivory,Savanna,1,1.25275,17.9305625,6.986674288662165,0.06996674288662165
KRA_FLO,S10,chew_herbivory,Savanna,2,1.7054285714285715,11.13704761904762,15.313111964357486,0.15323111964357483
KRA_FLO,S10,chew_herbivory,Savanna,3,0.4584782608695652,8.811,5.20347589228879,0.0521347589228879
KRA_FLO,S13,sap_miner_herbivory,Savanna,1,0.07663636363636364,13.932227272727273,0.550065414066145,0.0056006541406614496
KRA_FLO,S13,sap_miner_herbivory,Savanna,2,0.28644,11.66136,2.4563172734569547,0.024663172734569548
KRA_FLO,S13,sap_miner_herbivory,Savanna,3,0.02056,10.82168,0.18998898507440617,0.0019998898507440615
KRA_FLO,S13,chew_herbivory,Savanna,1,0.030272727272727274,13.932227272727273,0.2172856261969469,0.002272856261969469
