species,site,herbivory_type,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean,herbratio
GYM_HAR,T24,chew_perc,Thicket,1,0.037876343,3.2566120504166665,0.03266612050416667
GYM_HAR,T24,chew_perc,Thicket,2,4.540983607,8.407852936604652,0.08417852936604651
GYM_HAR,T24,chew_perc,Thicket,3,3.271052104,8.272117344409091,0.08282117344409091
KRA_FLO,F1,sap_min_perc,Forest,1,0,0.83712483075,0.0084712483075
KRA_FLO,F1,sap_min_perc,Forest,2,0,0,1e-4
KRA_FLO,F1,chew_perc,Forest,1,0.029493432,0.1866450185,0.001966450185
KRA_FLO,F1,chew_perc,Forest,2,0.553061879,3.7676113454705877,0.03777611345470588
KRA_FLO,F2,sap_min_perc,Forest,1,0,0.1384349996521739,0.001484349996521739
KRA_FLO,F2,sap_min_perc,Forest,2,0,3.4408552037391305,0.03450855203739131
KRA_FLO,F2,chew_perc,Forest,1,1.332004825,6.318419969695652,0.06328419969695652
KRA_FLO,F2,chew_perc,Forest,2,2.048629074,7.339198824434782,0.07349198824434783
KRA_FLO,F7,sap_min_perc,Forest,1,0,0,1e-4
KRA_FLO,F7,chew_perc,Forest,1,3.201729552,15.93291412672,0.15942914126719998
KRA_FLO,S10,sap_min_perc,Savanna,1,12.497462887,15.565103773125,0.15575103773124999
KRA_FLO,S10,sap_min_perc,Savanna,2,4.397869782,10.993972413380952,0.11003972413380952
KRA_FLO,S10,sap_min_perc,Savanna,3,6.100292952,8.05880746847826,0.0806880746847826
KRA_FLO,S10,chew_perc,Savanna,1,2.6328346455,7.141595686625,0.07151595686625001
KRA_FLO,S10,chew_perc,Savanna,2,9.006695405,15.112337719571428,0.15122337719571427
KRA_FLO,S10,chew_perc,Savanna,3,2.757194555,4.98369688473913,0.0499369688473913
KRA_FLO,S13,sap_min_perc,Savanna,1,0.3332935465,0.7381270457727273,0.007481270457727273
KRA_FLO,S13,sap_min_perc,Savanna,2,0.488826816,2.62665245732,0.0263665245732
KRA_FLO,S13,sap_min_perc,Savanna,3,0.127080951,0.25181945608,0.0026181945607999997
KRA_FLO,S13,chew_perc,Savanna,1,0.165269612,0.3117587704545455,0.0032175877045454546
KRA_FLO,S13,chew_perc,Savanna,2,0.158067066,1.16614631432,0.011761463143199999
KRA_FLO,S13,chew_perc,Savanna,3,0.108770889,0.20067073836,0.0021067073835999996
KRA_FLO,S22,sap_min_perc,Savanna,1,0.5895643850000001,1.156818497625,0.011668184976249999
KRA_FLO,S22,sap_min_perc,Savanna,2,0.08183631999999999,1.2954540663125,0.013054540663125
KRA_FLO,S22,sap_min_perc,Savanna,3,0.125553426,0.7251280583478278,0.007351280583478278
KRA_FLO,S22,chew_perc,Savanna,1,2.3470926175,6.243067593708333,0.06253067593708334
KRA_FLO,S22,chew_perc,Savanna,2,0.3300833305,3.11286713475,0.0312286713475
KRA_FLO,S22,chew_perc,Savanna,3,0.028449502,0.22159418326086955,0.0023159418326086953
KRA_FLO,S25,sap_min_perc,Savanna,1,0.473831736,4.8823551348076935,0.04892355134807694
KRA_FLO,S25,chew_perc,Savanna,1,2.1989581874999997,6.799948424846154,0.06809948424846154
KRA_FLO,S27,sap_min_perc,Savanna,1,0.042785325,0.35245390926666664,0.0036245390926666664
KRA_FLO,S27,chew_perc,Savanna,1,0.027023897,0.095973502,0.00105973502
KRA_FLO,S30,sap_min_perc,Savanna,1,0.162805886,1.0952812737000006,0.011052812737000005
KRA_FLO,S30,chew_perc,Savanna,1,0.1165578025,2.878500476766667,0.02888500476766667
KRA_FLO,S8,sap_min_perc,Savanna,1,0.907715582,1.6857914550869566,0.016957914550869566
KRA_FLO,S8,chew_perc,Savanna,1,0.879680537,1.598770365,0.01608770365
KRA_FLO,T12,sap_min_perc,Thicket,1,0,0,1e-4
KRA_FLO,T12,chew_perc,Thicket,1,0.013577733,3.661425093631579,0.03671425093631579
KRA_FLO,T22,sap_min_perc,Thicket,1,0,0,1e-4
KRA_FLO,T22,sap_min_perc,Thicket,2,0.044444009,5.002410639535714,0.050124106395357144
KRA_FLO,T22,sap_min_perc,Thicket,3,0,0,1e-4
